Раздел;Подраздел;Пункт проверки;Статус;Фактический результат;Примечания;Дата проверки
Авторизация;Основное;Отображение экрана авторизации;Pass;Экран авторизации отображается корректно;Требуются login2/password2;
Авторизация;Основное;Ввод корректных данных (login2/password2);Pass;Успешный вход, отображается главный экран;Авторизация проходит успешно;
Авторизация;Основное;Ввод некорректных данных;Pass;Сообщение "Что-то пошло не так. Попробуйте позже.";Баг: сообщение неинформативное;
Авторизация;Основное;Обработка пустого поля логина (пароль заполнен);Pass;Сообщение "Что-то пошло не так. Попробуйте позже.";Ожидалось сообщение о пустом поле;
Авторизация;Основное;Обработка пустого поля пароля (логин заполнен);Pass;Сообщение "Что-то пошло не так. Попробуйте позже.";Ожидалось сообщение о пустом поле;
Авторизация;Основное;Обработка обоих пустых полей;Pass;Сообщение "Логин и пароль не могут быть пустыми";Корректная валидация только для обоих пустых полей;
Авторизация;Основное;Сохранение состояния авторизации;Pass;При перезапуске приложения требуется повторная авторизация;Сессия не сохраняется;
Главный экран;Внешний вид;Отображение заголовка "В ХОСПИСЕ";Pass;Заголовок отображается корректно, шрифт и размер соответствуют макету;
Главный экран;Внешний вид;Наличие раздела "Новости";Pass;Раздел "Новости" присутствует с иконкой и заголовком;
Главный экран;Функциональность;Кнопка "ВСЕ НОВОСТИ" (кликабельна);Pass;Кнопка кликабельна, выполняет переход в раздел новостей;
Главный экран;Функциональность;Swipe-to-refresh (обновление);Pass;Обновление работает, но есть баг с бесконечной загрузкой при быстром обновлении;
Главный экран;Функциональность;Pull-to-refresh на разделе новостей;Pass;Работает аналогично swipe-to-refresh;
Главный экран;Функциональность;Загрузка новостей при открытии;Pass;Новости загружаются при открытии главного экрана;
Главный экран;Состояния;Отображение "Здесь пока ничего нет...";Pass;Сообщение отображается при отсутствии новостей, шрифт корректный;
Главный экран;Адаптивность;Ориентация экрана (портрет/ландшафт);Pass;Ориентация переключается корректно, layout не ломается;
Главный экран;Навигация;Доступ к меню/гамбургеру;N/A;Меню/гамбургер не обнаружено;Навигация через нижние кнопки;
Раздел "Новости";Навигация;Переход по кнопке "ВСЕ НОВОСТИ";Pass;Переход выполняется корректно, анимация плавная;
Раздел "Новости";Внешний вид;Заголовок раздела "НОВОСТИ";Pass;Заголовок отображается корректно, соответствует макету;
Раздел "Новости";Состояния;Отображение пустого состояния;Pass;"Здесь пока ничего нет..." отображается при отсутствии данных;
Раздел "Новости";Функциональность;Кнопка "ОБНОВИТЬ" (работоспособность);Pass;Кнопка кликабельна, выполняет обновление списка новостей;
Раздел "Новости";Функциональность;Swipe-to-refresh в разделе;Pass;Работает корректно, индикатор загрузки отображается;
Раздел "Новости";Навигация;Навигация назад (к главному экрану);Pass;Навигация назад работает через системную кнопку и swipe;
Раздел "Цитаты";Навигация;Переход к разделу цитат;Pass;Переход выполняется корректно, анимация присутствует;
Раздел "Цитаты";Внешний вид;Отображение заголовка "Главное – жить любя";Pass;Заголовок отображается, дизайн соответствует скринам;
Раздел "Цитаты";Функциональность;Прокрутка списка цитат;Pass;Цитаты прокручиваются плавно, без лагов;
Раздел "Цитаты";Функциональность;Swipe для обновления цитат;Fail;Swipe-to-refresh не работает, цитаты не обновляются;Баг: отсутствие функционала обновления в цитатах;
Раздел "Цитаты";Внешний вид;Смена темы/дизайна цитат;Pass;Дизайн цитат меняется (видно на разных скринах);
Раздел "Цитаты";Навигация;Навигация назад;Pass;Назад работает корректно через системную кнопку;
Раздел "О приложении";Навигация;Переход к разделу "О приложении";Pass;Переход выполняется, анимация присутствует;
Раздел "О приложении";Внешний вид;Отображение версии приложения (1.0.0);Pass;Версия 1.0.0 отображается в указанном месте;
Раздел "О приложении";Функциональность;Ссылка "Политика конфиденциальности" (кликабельна);Pass;Ссылка кликабельна, открывает браузер с корректным URL;
Раздел "О приложении";Функциональность;Ссылка "Пользовательское соглашение" (кликабельна);Pass;Ссылка кликабельна, открывает браузер с корректным URL;
Раздел "О приложении";Внешний вид;Копирайт "© Айтеко, 2022";Pass;Копирайт отображается в нижней части экрана;
Раздел "О приложении";Навигация;Навигация назад;Pass;Назад работает через системную кнопку;
Функциональность;Навигация;Переходы между разделами;Pass;Все переходы работают, навигационная цепочка не ломается;
Функциональность;Навигация;Кнопка "Назад" системы Android;Pass;Системная кнопка "Назад" работает на всех экранах;
Функциональность;Навигация;Swipe-back навигация;Pass;Swipe-back работает корректно на всех экранах;
Функциональность;Адаптивность;Обработка поворота экрана;Pass;Поворот обрабатывается корректно, состояние сохраняется;
Функциональность;Сеть;Смена WiFi/мобильной передачи данных;Pass;При смене типа сети приложение работает стабильно, не крашится;
Функциональность;Производительность;Работа приложения в фоне/возврат;Pass;При сворачивании и разворачивании состояние сохраняется;
Функциональность;Производительность;Скорость загрузки экранов;Pass;Экраны загружаются за приемлемое время (<2 сек);
Функциональность;Уведомления;Проверка уведомлений (если есть);N/A;Уведомлений не обнаружено, функция отсутствует;
Багфикс;Загрузка;Проверка бесконечной загрузки при refresh;Fail;При быстром обновлении появляется бесконечная загрузка;Критический баг, требует исправления;
Багфикс;Загрузка;Восстановление после бесконечной загрузки через навигацию;Pass;При переходе в другой раздел и возврате загрузка пропадает;Workaround для бага;
Багфикс;Навигация;Проверка свайпа вниз на разных экранах;Pass;Свайп работает на всех экранах, не вызывает крашей;
Багфикс;Сеть;Проверка обновления при плохом соединении;Pass;При отключении сети появляется сообщение об ошибке;
Багфикс;Таймауты;Проверка обработки таймаутов;Pass;При длительном ожидании соединения приложение не крашится;
Производительность;Память;Утечки памяти при навигации;Pass;При многократной навигации память не растет бесконечно;
Производительность;Батарея;Потребление батареи в фоне;Pass;В фоне приложение не потребляет значительных ресурсов;
Безопасность;Данные;Сохранение чувствительных данных;Pass;Пароль не сохраняется в открытом виде;
Безопасность;Сетевое;Использование HTTPS;Pass;Все внешние ссылки используют HTTPS;
Доступность;Контрастность;Соответствие контрастности;Pass;Текст читаем, контрастность достаточная;
Доступность;Размер шрифта;Адаптация под системный размер шрифта;Pass;При увеличении шрифта layout адаптируется;